loading_type,loading_label,roi_name,band_name,roi_index,band_index,fro_norm,delta_hat,sdest,ci_low,ci_high,excludes_zero,N,fold1_n,fold2_n,analysis_name,condition,transform,rank,cv_mean_val_mse,cv_mean_val_r2
column,delta,,delta,NaN,1,3.16227766016838,-0.146295878817745,3.56448704165797,-0.496926529669379,0.20433477203389,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,theta,,theta,NaN,2,3.16227766016838,-0.353118856719832,5.24030259715663,-0.868595751102338,0.162358037662674,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,alpha1,,alpha1,NaN,3,3.16227766016838,-0.0398628629001548,3.6149176255406,-0.395454257960687,0.315728532160377,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,alpha2,,alpha2,NaN,4,3.16227766016838,0.715462598903178,4.79828581510827,0.243465910835259,1.1874592869711,1,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,beta1,,beta1,NaN,5,3.16227766016838,0.161117659738147,9.06746738302452,-0.730828910113046,1.05306422958934,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,beta2,,beta2,NaN,6,3.16227766016838,-0.200219078111593,10.0407855162743,-1.18790878478966,0.78747062856647,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,gamma1,,gamma1,NaN,7,3.16227766016838,-0.059331937850175,9.47978753968178,-0.991837523121644,0.873173647421294,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
column,gamma2,,gamma2,NaN,8,3.16227766016838,0.0501385057281218,7.47847288511112,-0.685502214644126,0.78577922610037,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
full_matrix,global,,,NaN,NaN,8.94427190999916,0.0452159961453573,1.94538387628865,-0.146147082672876,0.236579074963591,0,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
row,anterior-midline,anterior_midline,,1,NaN,2.82842712474619,0.562328837722103,3.99978968989618,0.168878434943917,0.955779240500289,1,397,198,199,log EC - log EO,EC_minus_EO,log10,1,7.5900605667038,0.267672030036584
