roi,delta,theta,alpha1,alpha2,beta1,beta2,gamma1,gamma2
anterior_midline,-1.0952527854301375,-2.318023498753329,0.28564040797576334,2.9420926935539367,2.6302285059559725,0.38750416866740717,-1.9233829051221596,0.706937728033319
frontal_left,-0.7070949434080943,-1.49651543139049,0.18440938092055703,1.8994143583327017,1.6980749113903317,0.2501726011193592,-1.2417355559751737,0.45639883271372117
frontal_right,-0.6793224719244695,-1.4377369992569289,0.17716635886153315,1.8248113200927047,1.6313798550993848,0.2403466060456514,-1.1929640781983624,0.43847291811785616
central_left,0.23047604818286668,0.4877859273171119,-0.06010783383284535,-0.6191099501579398,-0.5534837983841182,-0.08154321142746625,0.4047409849233505,-0.1487621999559721
central_right,1.0216842199768055,2.1623209378843122,-0.26645382810139345,-2.7444711565217452,-2.4535550105111303,-0.3614753594506826,1.7941885099746244,-0.6594524395153593
temporal_left,0.07294251396851041,0.1543775680705039,-0.019023306515089565,-0.1959398234371341,-0.17517004484103693,-0.025807310067490645,0.12809498071129652,-0.047081199690066064
temporal_right,-0.03584493197286466,-0.07586321233749084,0.00934830856291453,0.09628746337028139,0.08608091494791739,0.012682059109879055,-0.06294759557703247,0.02313633446771287
posterior_left,0.4684947116143905,0.9915352556143693,-0.1221827712654177,-1.2584810432306155,-1.1250810422671995,-0.16575502583900173,0.8227276218296662,-0.3023928278751025
posterior_midline,-0.457178201675843,-0.9675846788065444,0.11923144116271542,1.2280823794247477,1.0979046612305494,0.1617512060502841,-0.8028546006869726,0.29508851609279435
posterior_right,0.10104585893396241,0.21385627005609603,-0.026352619919449195,-0.2714316614741497,-0.24265968743693891,-0.035750369306855156,0.1774475082760385,-0.0652206786343819
