fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
1,1,1,1,317,80,11.6393827111711,-0.0829534827757128,4000,6.78334555720886
2,1,1,1,317,80,9.09138782855548,0.164659157698791,4000,7.87467849181326
3,1,1,1,318,79,9.38971667924846,0.0627170715422555,4000,7.18061154998842
4,1,1,1,318,79,6.14837349903818,0.320311397475263,4000,7.07616596454176
5,1,1,1,318,79,7.58401615281155,0.299156664636108,4000,7.93684773944725
1,2,1,1,317,80,11.6495616008655,-0.0839005488116698,4000,6.81234440802565
2,2,1,1,317,80,9.11345091612201,0.162631942657574,4000,7.88869743745021
3,2,1,1,318,79,9.37133930890937,0.0645515034082181,4000,7.19312265672519
4,2,1,1,318,79,6.20176986708413,0.314408551335104,4000,7.10311777769954
5,2,1,1,318,79,7.65056672189108,0.293006687913449,4000,8.01201441953663
1,3,1,1,317,80,11.5860953031332,-0.077995506433254,4000,6.79355245744647
2,3,1,1,317,80,9.10870875458322,0.163067665045491,4000,7.88884030424637
3,3,1,1,318,79,9.3828659797765,0.063400909391938,4000,7.19477982851698
4,3,1,1,318,79,6.02683594347936,0.333747095762781,4000,7.14631794241697
5,3,1,1,318,79,7.66625306127339,0.291557104184877,4000,7.98311190150755
1,4,1,1,317,80,11.5750570289971,-0.0769684813997036,4000,6.79408931214467
2,4,1,1,317,80,9.07906756950885,0.165791175798057,4000,7.88603697234075
3,4,1,1,318,79,9.41727604850118,0.0599660911663805,4000,7.19132982124323
4,4,1,1,318,79,6.0176515678431,0.334762407445171,4000,7.09387357383449
5,4,1,1,318,79,7.67794677187347,0.290476481599876,4000,8.0062917111344
1,5,1,1,317,80,11.5692399558865,-0.0764272482655233,4000,6.79499571070456
2,5,1,1,317,80,9.06297217715014,0.167270063165271,4000,7.86890303995822
3,5,1,1,318,79,9.39328158410812,0.0623612222040194,4000,7.17546581145002
4,5,1,1,318,79,6.02157627987897,0.334328539522314,4000,7.10669159526277
5,5,1,1,318,79,7.68392409082021,0.289924114086046,4000,8.01951822786631
1,6,1,1,317,80,11.5831336370303,-0.0777199465775051,4000,6.78308400184631
2,6,1,1,317,80,9.06345131376979,0.167226038821026,4000,7.85645669778654
3,6,1,1,318,79,9.40258004535739,0.0614330484062813,4000,7.17334521279339
4,6,1,1,318,79,6.02289764395988,0.334182465750817,4000,7.09964074984225
5,6,1,1,318,79,7.7439142898291,0.28438038497005,4000,8.03869511388641
1,7,1,1,317,80,11.5733345556989,-0.0768082187377068,4000,6.77713864529321
2,7,1,1,317,80,9.06158772867098,0.167397269965874,4000,7.85558926289209
3,7,1,1,318,79,9.40491242717038,0.0612002297035832,4000,7.18009591078051
4,7,1,1,318,79,6.0208059869564,0.334413693639929,4000,7.09507604573918
5,7,1,1,318,79,7.75790846193986,0.28308717540138,4000,8.05057410634895
1,8,1,1,317,80,11.5673739120439,-0.0762536274878107,4000,6.77763284503963
2,8,1,1,317,80,9.0617567652018,0.167381738440798,4000,7.85566485823028
3,8,1,1,318,79,9.36969445529301,0.0647156929431197,4000,7.18923232535846
4,8,1,1,318,79,6.01985979844657,0.334518292611685,4000,7.08991790305532
5,8,1,1,318,79,7.7575697644661,0.283118474631551,4000,8.05079483393346
1,9,1,1,317,80,11.5686401304821,-0.0763714392052917,4000,6.77627992481854
2,9,1,1,317,80,9.10130549697816,0.163747896002546,4000,7.8874526159263
3,9,1,1,318,79,9.37856597867928,0.0638301361469558,4000,7.18806556483818
4,9,1,1,318,79,6.01751996698701,0.334776955618274,4000,7.08320754184567
5,9,1,1,318,79,7.75757270488629,0.283118202905615,4000,8.05079328508175
1,10,1,1,317,80,11.5687807867458,-0.0763845261699847,4000,6.7762091537687
2,10,1,1,317,80,9.10749054889294,0.163179597017441,4000,7.88850089344625
3,10,1,1,318,79,9.37943611517241,0.0637432789915915,4000,7.18911607875015
4,10,1,1,318,79,6.01084371140889,0.335515000375103,4000,7.06620833123735
5,10,1,1,318,79,7.75905032386665,0.282981655277851,4000,8.05083653519097
1,1,2,1,317,80,11.6187962461839,-0.0810380732983202,4000,6.77562133584083
2,1,2,1,317,80,8.9065792009446,0.181639864887204,4000,7.72558946487863
3,1,2,1,318,79,9.35278631852938,0.0664034656930267,4000,7.1131274078203
4,1,2,1,318,79,5.8533023116482,0.352930841143379,4000,6.81975309501385
5,1,2,1,318,79,7.60669260761467,0.297061120283589,4000,7.88095869986604
1,2,2,1,317,80,10.4607987172056,0.0267045354097053,4000,4.86160470017844
2,2,2,1,317,80,9.94219170044014,0.0864850399099791,4000,6.96046790959633
3,2,2,1,318,79,8.07547477045719,0.193904896164923,4000,5.42180008551986
4,2,2,1,318,79,5.06451633748721,0.440129323238271,4000,6.31822895241377
5,2,2,1,318,79,7.98908893835172,0.26172365337098,4000,7.29171975388627
1,3,2,1,317,80,10.3550789616949,0.0365409313999082,4000,4.8694364971868
2,3,2,1,317,80,9.94793368599485,0.0859574510379385,4000,6.98875954683671
3,3,2,1,318,79,8.10438989392797,0.191018584199482,4000,5.4277907076057
4,3,2,1,318,79,4.929844492775,0.455016987097044,4000,6.39208295592526
5,3,2,1,318,79,8.00529542589211,0.260226002449161,4000,7.27206064486398
1,4,2,1,317,80,10.3419091626881,0.0377662781434357,4000,4.86386107826584
2,4,2,1,317,80,9.97748708320798,0.0832420064670518,4000,6.98411478616059
3,4,2,1,318,79,8.10182709833246,0.19127440284054,4000,5.42946303882363
4,4,2,1,318,79,4.99021336000759,0.44834334714792,4000,6.39248947986961
5,4,2,1,318,79,8.0291322051175,0.258023231843186,4000,7.29572602417153
1,5,2,1,317,80,10.3667716174073,0.0354530212812272,4000,4.86966470469575
2,5,2,1,317,80,9.97663357126979,0.08332042940916,4000,6.98490742624803
3,5,2,1,318,79,8.12620682753082,0.188840814612201,4000,5.44399589625919
4,5,2,1,318,79,4.98288685257445,0.449153275757397,4000,6.37709208188046
