rank1,rank2,rank3,fold1_iter,fold2_iter,fold3_iter,fold4_iter,fold5_iter,mean_fit_iterations
1,1,1,4000,4000,4000,4000,4000,4000.0
1,1,2,4000,4000,4000,4000,4000,4000.0
1,2,1,4000,4000,4000,4000,4000,4000.0
1,2,2,4000,4000,4000,4000,4000,4000.0
1,3,1,4000,4000,4000,4000,4000,4000.0
1,3,2,4000,4000,4000,4000,4000,4000.0
1,4,1,4000,4000,4000,4000,4000,4000.0
1,4,2,4000,4000,4000,4000,4000,4000.0
1,5,1,4000,4000,4000,4000,4000,4000.0
1,5,2,4000,4000,4000,4000,4000,4000.0
2,1,1,4000,4000,4000,4000,4000,4000.0
2,1,2,4000,4000,4000,4000,4000,4000.0
2,2,1,4000,4000,4000,4000,4000,4000.0
2,2,2,4000,4000,4000,4000,4000,4000.0
2,3,1,4000,4000,4000,4000,4000,4000.0
2,3,2,4000,4000,4000,4000,4000,4000.0
2,4,1,4000,4000,4000,4000,4000,4000.0
2,4,2,4000,4000,4000,4000,4000,4000.0
2,5,1,4000,4000,4000,4000,4000,4000.0
2,5,2,4000,4000,4000,4000,4000,4000.0
3,1,1,4000,4000,4000,4000,4000,4000.0
3,1,2,4000,4000,4000,4000,4000,4000.0
3,2,1,4000,4000,4000,4000,4000,4000.0
3,2,2,4000,4000,4000,4000,4000,4000.0
3,3,1,4000,4000,4000,4000,4000,4000.0
3,3,2,4000,4000,4000,4000,4000,4000.0
3,4,1,4000,4000,4000,4000,4000,4000.0
3,4,2,4000,4000,4000,4000,4000,4000.0
3,5,1,4000,4000,4000,4000,4000,4000.0
3,5,2,4000,4000,4000,4000,4000,4000.0
4,1,1,4000,4000,4000,4000,4000,4000.0
4,1,2,4000,4000,4000,4000,4000,4000.0
4,2,1,4000,4000,4000,4000,4000,4000.0
4,2,2,4000,4000,4000,4000,4000,4000.0
4,3,1,4000,4000,4000,4000,4000,4000.0
4,3,2,4000,4000,4000,4000,4000,4000.0
4,4,1,4000,4000,4000,4000,4000,4000.0
4,4,2,4000,4000,4000,4000,4000,4000.0
4,5,1,4000,4000,4000,4000,4000,4000.0
4,5,2,4000,4000,4000,4000,4000,4000.0
5,1,1,4000,4000,4000,4000,4000,4000.0
5,1,2,4000,4000,4000,4000,4000,4000.0
5,2,1,4000,4000,4000,4000,4000,4000.0
5,2,2,4000,4000,4000,4000,4000,4000.0
5,3,1,4000,4000,4000,4000,4000,4000.0
5,3,2,4000,4000,4000,4000,4000,4000.0
5,4,1,4000,4000,4000,4000,4000,4000.0
5,4,2,4000,4000,4000,4000,4000,4000.0
5,5,1,4000,4000,4000,4000,4000,4000.0
5,5,2,4000,4000,4000,4000,4000,4000.0
6,1,1,4000,4000,4000,4000,4000,4000.0
6,1,2,4000,4000,4000,4000,4000,4000.0
6,2,1,4000,4000,4000,4000,4000,4000.0
6,2,2,4000,4000,4000,4000,4000,4000.0
6,3,1,4000,4000,4000,4000,4000,4000.0
6,3,2,4000,4000,4000,4000,4000,4000.0
6,4,1,4000,4000,4000,4000,4000,4000.0
6,4,2,4000,4000,4000,4000,4000,4000.0
6,5,1,4000,4000,4000,4000,4000,4000.0
6,5,2,4000,4000,4000,4000,4000,4000.0
7,1,1,4000,4000,4000,4000,4000,4000.0
7,1,2,4000,4000,4000,4000,4000,4000.0
7,2,1,4000,4000,4000,4000,4000,4000.0
7,2,2,4000,4000,4000,4000,4000,4000.0
7,3,1,4000,4000,4000,4000,4000,4000.0
7,3,2,4000,4000,4000,4000,4000,4000.0
7,4,1,4000,4000,4000,4000,4000,4000.0
7,4,2,4000,4000,4000,4000,4000,4000.0
7,5,1,4000,4000,4000,4000,4000,4000.0
7,5,2,4000,4000,4000,4000,4000,4000.0
8,1,1,4000,4000,4000,4000,4000,4000.0
8,1,2,4000,4000,4000,4000,4000,4000.0
8,2,1,4000,4000,4000,4000,4000,4000.0
8,2,2,4000,4000,4000,4000,4000,4000.0
8,3,1,4000,4000,4000,4000,4000,4000.0
8,3,2,4000,4000,4000,4000,4000,4000.0
8,4,1,4000,4000,4000,4000,4000,4000.0
8,4,2,4000,4000,4000,4000,4000,4000.0
8,5,1,4000,4000,4000,4000,4000,4000.0
8,5,2,4000,4000,4000,4000,4000,4000.0
9,1,1,4000,4000,4000,4000,4000,4000.0
9,1,2,4000,4000,4000,4000,4000,4000.0
9,2,1,4000,4000,4000,4000,4000,4000.0
9,2,2,4000,4000,4000,4000,4000,4000.0
9,3,1,4000,4000,4000,4000,4000,4000.0
9,3,2,4000,4000,4000,4000,4000,4000.0
9,4,1,4000,4000,4000,4000,4000,4000.0
9,4,2,4000,4000,4000,4000,4000,4000.0
9,5,1,4000,4000,4000,4000,4000,4000.0
9,5,2,4000,4000,4000,4000,4000,4000.0
10,1,1,4000,4000,4000,4000,4000,4000.0
10,1,2,4000,4000,4000,4000,4000,4000.0
10,2,1,4000,4000,4000,4000,4000,4000.0
10,2,2,4000,4000,4000,4000,4000,4000.0
10,3,1,4000,4000,4000,4000,4000,4000.0
10,3,2,4000,4000,4000,4000,4000,4000.0
10,4,1,4000,4000,4000,4000,4000,4000.0
10,4,2,4000,4000,4000,4000,4000,4000.0
10,5,1,4000,4000,4000,4000,4000,4000.0
10,5,2,4000,4000,4000,4000,4000,4000.0
