rank1,rank2,rank3,rank_sum,mean_val_mse,std_val_mse,mean_val_r2,std_val_r2
6,2,2,10,7.96266210673551,2.18405880340747,0.233742856343802,0.174964097028712
5,2,2,9,7.97079266088517,2.17492655596883,0.233033976397827,0.173183482552696
3,2,2,7,8.04749899160787,1.99570275737289,0.2259522795193,0.14995330819305
7,2,2,11,8.06723424404528,2.1690772049306,0.223599677173894,0.173463026025419
4,2,2,8,8.06891516236739,2.15153202723968,0.223582025645885,0.170171776081614
9,2,2,13,8.06975319069479,2.17327082530418,0.223661197465757,0.172460413525757
8,2,2,12,8.07518376403842,2.16991050590759,0.223047680666935,0.172493821847933
10,2,2,14,8.07902327457646,2.16956496035026,0.222745969943836,0.171978931071533
3,2,1,6,8.26850849205696,2.14575969293811,0.205751991236707,0.164545315927163
4,2,1,7,8.28811378187073,2.12426334264518,0.203729853288427,0.162018440374434
5,2,1,8,8.29396189065917,2.1328279209922,0.203176643145178,0.163045944691018
2,3,1,6,8.29730474407934,2.09683805787719,0.202508633439424,0.159648763443302
2,5,1,8,8.30300246956703,2.12242180841633,0.202055944755779,0.162418338404266
2,2,1,5,8.30641409278838,2.12020463468059,0.201789489618772,0.16156268473987
6,2,1,9,8.31185172414982,2.12280872967939,0.201384080058989,0.162122990553022
8,2,1,11,8.32626105722457,2.1519391788822,0.200144321947553,0.165130090592039
2,4,1,7,8.328615567031,2.12992098741601,0.199606888129279,0.162856375816805
7,2,1,10,8.32956706510218,2.14215042306464,0.199741489100912,0.164553420191199
9,2,1,12,8.33283409626928,2.15487883888833,0.199514145539127,0.165425550643423
2,5,2,9,8.33496316839579,1.61887553681557,0.193358413304605,0.124412731535454
2,4,2,8,8.33938917960223,1.63349042455349,0.192874729954435,0.126633514486172
10,2,1,13,8.33967293101125,2.15095262895649,0.198822038811668,0.164970171147244
2,2,2,6,8.35473231497043,1.62664078665462,0.193834657990827,0.112121601749791
2,3,2,7,8.48563308799368,1.82636092697026,0.178409444325075,0.148403964229282
5,5,1,11,8.54459826162521,1.80613499050967,0.176273009232811,0.129283499859795
1,2,2,5,8.55260190541163,2.67938914818241,0.174756731734868,0.229931735789297
1,3,1,5,8.64057719039461,2.13136607857891,0.165730427991954,0.176244827867475
4,4,1,9,8.64157257929566,1.77013115841937,0.165947084102949,0.129927910443257
1,5,1,7,8.64552819312116,2.12333563086092,0.16519308866504,0.175655647497009
3,3,1,7,8.65112829571888,2.23241234160269,0.167662365450208,0.172362812554947
1,4,1,6,8.65171881437735,2.11573286460993,0.164626297499657,0.174708987920304
6,3,2,11,8.65342007556545,1.99577046440718,0.163275038798824,0.160288957544298
6,5,1,12,8.65789468028512,1.81854069775864,0.16550081517487,0.129722510122833
5,4,1,10,8.66124284373167,1.84786784365317,0.164677744771414,0.135707202907936
1,2,1,4,8.66763133698415,2.13786965236681,0.163399443741775,0.175554996251101
6,4,1,11,8.66970820231505,1.81031421900245,0.163840958452252,0.131867065725243
6,3,1,10,8.68070824213588,2.16100466139514,0.164471217807189,0.164626313661062
5,3,1,9,8.69589317035721,2.17332801061053,0.163029622412783,0.165480947348566
8,3,1,12,8.70521884535458,2.19329545241551,0.162215977784264,0.167915034950677
9,3,1,13,8.71264968612634,2.19654201303347,0.161532179372313,0.168144676977141
7,3,1,11,8.7173310868129,2.15549146646742,0.160819727880913,0.164366458509187
3,5,1,9,8.72302040161854,2.11065588093419,0.160275103697983,0.15850842432204
10,3,1,14,8.72427844307447,2.19238295523645,0.160378716347506,0.167688635347374
7,3,2,12,8.72668220918794,1.94798824399228,0.156147276441444,0.155463076193202
4,3,1,8,8.72810678158242,2.13968987540582,0.159643131362555,0.162446956512263
3,4,1,8,8.73141900996953,2.1709679661329,0.159885941338257,0.164395198077219
9,3,2,14,8.73256859060827,1.99937605492873,0.155802222540242,0.159794343700153
4,5,1,10,8.73536413206793,1.73998903867032,0.156474488612296,0.128332170141063
9,4,1,14,8.74313891611178,1.98649336360104,0.157228474894453,0.150585071466996
10,4,1,15,8.74414450361468,1.9806801970905,0.157087966877344,0.150103263300699
5,1,1,7,8.7461988175688,2.06401418991628,0.155491338142426,0.167819176068041
10,3,2,15,8.75325451554296,1.98389276544313,0.153648175864973,0.158589837216525
4,1,1,6,8.75339979734475,2.07059522196088,0.154805534921956,0.168541894480288
3,1,1,5,8.75415180844913,2.07139274437427,0.154755453590367,0.168330370529099
8,1,1,10,8.75525093909027,2.05287936138299,0.154696114227869,0.166150160220466
8,3,2,13,8.7594192219279,1.98606361688781,0.153198437723764,0.158052857692463
6,1,1,8,8.7631953859893,2.06150332114988,0.153900398274134,0.167259094236005
7,1,1,9,8.76370983208731,2.05724457688971,0.153858029994612,0.166790450097552
9,1,1,11,8.76472085560257,2.05630241427892,0.15382035029362,0.166319182943048
7,4,1,12,8.76494588959725,1.97963042129198,0.154856401446785,0.150387960174274
10,1,1,12,8.76512029721733,2.0587210687934,0.1538070010984,0.166501762080517
1,1,1,3,8.77057537416496,2.06156358033837,0.152778161715341,0.168311925784163
7,5,1,13,8.773660705726,1.8300970152855,0.154218348442836,0.129232190192995
